url1,url2,similarity
https://www.varonis.com/blog/cybersecurity-tips,https://nordlayer.com/learn/network-security/basics/,0.955
https://www.varonis.com/blog/cybersecurity-tips,https://www.fortinet.com/resources/cyberglossary/what-is-network-security,0.959
https://www.varonis.com/blog/cybersecurity-tips,https://www.cisco.com/site/us/en/learn/topics/security/what-is-network-security.html,0.94
https://www.varonis.com/blog/cybersecurity-tips,https://www.trendmicro.com/en_us/what-is/network-security/network-security-basics.html,0.878
https://www.varonis.com/blog/cybersecurity-tips,https://digitdefence.com/blog/fundamentals-of-network-security-in-computer-networks,0.952
https://www.varonis.com/blog/cybersecurity-tips,https://en.wikipedia.org/wiki/Remote_desktop_software,0.923
https://www.varonis.com/blog/cybersecurity-tips,https://www.fortinet.com/solutions/enterprise-midsize-business/network-access/application-access,0.857
https://www.varonis.com/blog/cybersecurity-tips,https://www.microsoft.com/en-us/security/business/security-101/what-is-zero-trust-network-access-ztna,0.94
https://www.varonis.com/blog/cybersecurity-tips,https://www.zscaler.com/resources/security-terms-glossary/what-is-zero-trust-network-access,0.939
https://www.varonis.com/blog/cybersecurity-tips,https://www.fax.plus/,0.891
https://www.cisecurity.org/insights/blog/11-cyber-defense-tips-to-stay-secure-at-work-and-home,https://guardiandigital.com/resources/blog/guide-on-phishing,0.852
https://www.cisecurity.org/insights/blog/11-cyber-defense-tips-to-stay-secure-at-work-and-home,https://www.efax.com/,0.851
https://www.cisecurity.org/insights/blog/11-cyber-defense-tips-to-stay-secure-at-work-and-home,https://www.fax.plus/,0.813
https://www.cisecurity.org/insights/blog/11-cyber-defense-tips-to-stay-secure-at-work-and-home,https://www.w3schools.com/datascience/,0.861
https://nordlayer.com/learn/network-security/basics/,https://www.fortinet.com/resources/cyberglossary/what-is-network-security,0.984
https://nordlayer.com/learn/network-security/basics/,https://www.cisco.com/site/us/en/learn/topics/security/what-is-network-security.html,0.988
https://nordlayer.com/learn/network-security/basics/,https://www.trendmicro.com/en_us/what-is/network-security/network-security-basics.html,0.919
https://nordlayer.com/learn/network-security/basics/,https://digitdefence.com/blog/fundamentals-of-network-security-in-computer-networks,0.978
https://nordlayer.com/learn/network-security/basics/,https://en.wikipedia.org/wiki/Remote_desktop_software,0.979
https://nordlayer.com/learn/network-security/basics/,https://www.fortinet.com/solutions/enterprise-midsize-business/network-access/application-access,0.919
